#separator:tab
#html:true
which role is responsible for project initiation and providing the requirements for a project?	project sponsor
"a business seeks to increase profitability and optimize inventory management. they decide to carry out data analytics research to determine which merchandise is selling quickly
and which is selling slowly. the research seeks to determine whether there is a relationship between the kind of merchandise and sales velocity.
<br><br>which data is required to answer the question for the data analytics projectin the scenario?<br><br>&gt; sales data categorized by customer segment
<br>&gt; sales data categorized by region
<br>&gt; sales data categorized by time period
<br>&gt; sales data categorized by product"	sales data categorized by product
"a healthcare provider aims to improve patient satisfaction and retention. they seek to answer the question, ""what factors are associated with patient satisfaction?""&nbsp;<br><br><b>which data is required to answer this question in the scenario?</b><br><br>&gt; number of healthcare providers
<br>&gt; financial records of the healthcare provider
<br>&gt; patient feedback survey results
<br>&gt; demographic data of the patients"	patient feedback survey results
"a financial institution is seeking to reduce the risk of fraudulenttransactions. the institution has customer data that includes account information, transaction history,
demographics, and device usage. the data analytics project aims to answer the question: ""What patterns of behavior suggest a higher risk of fraudulent transactions?”
<br><br><b>Which data is required to meetthe needs ofthe project and address the risk of fraudulenttransactions?</b><br><br>&gt; transaction time data
<br>&gt; customer age data
<br>&gt; customer device usage data
<br>&gt; account opening date data"	customer device usage data
"an e-commerce company has collected various types of data abouttheir customers, products, and sales transactions. the available data includes customer demographics, product
attributes, purchase history, website clickstream data, and customer feedback.
<br><br><b>which question can be answered using data analytics based on the available data?</b><br><br>&gt; what are the most popular products among customers aged 18–25? <br>&gt; how many sales transactions were made in the last month?
<br>&gt; what is the total revenue generated by the company since its inception?
<br>&gt; how many employees does the company have?"	what are the most popular products among customers aged 18–25?
"a food delivery company would like to study economic conditions' effects on sales. the analystin charge of the projectis planning on gathering economic data from a well-known
blog.
<br><br><b>which question should the analyst consider in the scenario?</b><br><br>&gt; is the data correct?
<br>&gt; is the data formatted appropriately?
<br>&gt; is the data accessible from an API?
<br>&gt; is the data exportable?"	is the data correct?
"a data analystis planning the data preparation phase of a data analysis project. during planning,they consider whatto do ifthe data contains a lot of outliers.
<br><br><b>which question should the analyst consider in this scenario?</b><br><br>&gt; can the outliers be removed? <br>&gt; can the rest of the data explain the outliers?
<br>&gt; can the outliers be replaced?
<br>&gt; what is the impact of the outliers on the analysis?"	what is the impact of the outliers on the analysis?
"a data analystis working on a project to identify the main reasons for customer complaints and is planning to review the data.
<br><br><b>which question should the analyst consider in this scenario?</b><br><br>&gt; are all the relevant variables present?
<br>&gt; do all variables have a known distribution?
<br>&gt; what is the correlation between variables?
<br>&gt; what&nbsp;are the independent variables?"	are all the relevant variables present?
"a data analyst plans to explore possible indicators of fraud in bank transactions. the analystis considering different tools that can be used to collect the data needed.
<br><br><b>which question should the analyst consider when identifying the tool to use?</b><br><br>&gt; are all relevant variables present?
<br>&gt; what is the format and structure of the data?
<br>&gt; what is the research question for the project?
<br>&gt; what is the timeline for the project?"	what is the format and structure of the data?
"a company will survey its customers to understand the potential demand for a new product. a data analyst will review the data.
<br><br>which question should the analysis consider to validate the representativity of the data?<br><br>&gt; what tool is being used to visualize the data?
<br>&gt; what tool will be used to prepare the data?
<br>&gt; what tool will be used to analyze the data?
<br>&gt; what is the response rate for the survey?"	what tool is being used to visualize the data?
"a retail company wants to improve customer satisfaction by understanding the factors that influence customer loyalty. the company has collected customer feedback data from
different sources, such as online surveys, social media platforms, and customer support calls.
<br><br>which data analytic technique should be used to identify the factors influencing customer loyalty based on the collected customer feedback data?<br><br>&gt; clustering analysis
<br>&gt; regression analysis
<br>&gt; time series analysis <br>&gt; text analysis"	text analysis
"A data analyst working for a digital marketing agency wants to analyze customer data to identify factors that are most strongly associated with customer churn. the analyst has
access to a database of customer information, which includes data such as age, gender, location, income, purchasing behavior, engagement with the agency's services, and
customer satisfaction ratings. <br><br>which data analytic technique should be used to identify factors that are strongly associated with customer churn for the agency?<br><br>&gt; random forest analysis
<br>&gt; logistic regression analysis
<br>&gt; cluster analysis
<br>&gt; naive Bayes analysis"	logistic regression analysis (logistic regression is a suitable technique for analyzing factors associated with binary outcomes, such as customer churn (churn or not churn). it is commonly used in situations where the dependent variable is categorical, making it appropriate for predicting and understanding the likelihood of an event, like customer churn, based on various independent variables.)
"a car manufacturing company is looking to improve its production by analyzing how factors such as temperature, humidity, and machine performance affect production efficiency. to identify the key factor that affects efficiency the most, an analyst uses the regression analysis technique.
<br><br>what justifies the use of regression analysis for the given task?<br><br>&gt; regression analysis is used to analyze the content of text data.
<br>&gt; regression analysis is used to group data points together based on similarity.
<br>&gt; regression analysis is used to analyze the relationship between one or more independent variables and a dependent
variable.
<br>&gt; regression analysis is used to analyze data collected over time to identify trends and patterns."	regression analysis is used to analyze the relationship between one or more independent variables and a dependent variable.
"a clothing store has been tracking its sales data for the first five months of the year. they have collected data on the number of items sold, the average price per item, and the total
revenue generated each month. they are required to analyze their sales data to identify any trends or patterns and improve their sales strategy. Here is a sample data table:
<br><br><div><img src=""number-57_table.jpeg""></div><br>which data analytic technique would be most appropriate to identify any trends or patterns in the clothing store's sales data?<br><br>&gt; regression analysis
<br>&gt; cluster analysis
<br>&gt; time series analysis
<br>&gt; factor analysis<br>"	time series analysis
"a data analyst working for a retail company analyzes the purchasing behavior of customers to identify patterns and recommend products.
<br><br><b>which data analytic technique is most appropriate for analyzing the transaction data?</b><br><br>&gt; time series analysis
<br>&gt; association rules analysis
<br>&gt; text analysis
<br>&gt; clustering analysis"	association rules analysis
"an energy company wants to predict future energy demand to optimize production. The company has an
extensive data set on historical energy usage.
<br><br>which data analytic technique is best suited for this scenario?<br><br>&gt; time series
<br>&gt; principal component analysis
<br>&gt; multiple regression
<br>&gt; logistic regression"	time series
"a pharmaceutical company wants to understand if a new drug reduces fevers. the data suggest a fever reduction when using the drug. the company's data analysts study the data
to determine whether the effect observed could have occurred by chance.
<br><br>which data analytic calculation should the analysts perform?<br><br>&gt; the mean temperature
<br>&gt; the standard deviation of the temperature
<br>&gt; the coefficient of determination
<br>&gt; the p-value"	the p-value
"a pivot table is created using R programming representing 12 categories of food or grocery items with the corresponding unit sales and revenue generated over the last year. the
scatterplot between the unit sale and revenue earned is sum_unit and sum_dollars, respectively.
<br><br>Scatterplot:<br><br><img src=""paste-2cc0082e441aad3ad5c7ce4133d7c78ad9578690.jpg""><br><br>which data analytics techniques will be impactful based on the scatterplot?<br><br>&gt; linear regression model
<br>&gt; nonlinear regression model
<br>&gt; multiple regression model
<br>&gt; logistic regression model"	linear regression model
